epoch,loss
0,7.032468394569087
1,6.060089628747169
2,5.511854175442192
3,5.127716415855364
4,4.807451041570254
5,4.519388873065233
6,4.288427434991361
7,4.086980775431
8,3.899545032235594
9,3.701754813498639
10,3.5699924560303384
11,3.423703926444284
12,3.301692644447607
13,3.218974916801231
14,3.0486762002542815
15,2.9461065422404897
16,2.841116337066001
17,2.7470188343778568
18,2.668091070721182
19,2.5926993783253534
20,2.516398573290679
21,2.429214052812735
22,2.3611651340812965
23,2.2778918364984153
24,2.2519130586886082
25,2.1650344550724876
26,2.1640817270518733
27,2.0662804655226332
28,2.03870856001022
29,1.9790776024934633
30,1.967369971238437
31,1.8779199446193025
32,1.8299528035250576
