epoch,loss
0,8.336320856519185
1,7.930693957480163
2,7.474607995567098
3,7.1402185129854585
4,6.875059120332704
5,6.629095674884779
6,6.3847707409550365
7,6.14300315633932
8,5.8771126122353206
9,5.599723033543742
10,5.355596900531313
11,5.088916671112579
12,4.788203942861377
13,4.51854013010694
14,4.251355082439021
15,4.027944698277678
16,3.826956684491278
17,3.6261475836818007
18,3.3678886325121082
19,3.3070606637203483
20,3.0830320113628695
21,2.9205270182611427
22,2.797090351698369
23,2.6564044721916096
24,2.527252246631196
25,2.410477028026992
26,2.3413051598839787
27,2.214975126345589
28,2.1037036797176536
29,2.0769953142187316
30,2.0341220301479237
31,1.9980059539002581
32,1.849584595741282
33,1.8175950199073627
34,1.7843114441317875
35,1.7225224941404407
36,1.68971251440858
37,1.6524865438080083
38,1.6001465468917464
39,1.5232849819141614
40,1.5132961207787872
41,1.488875726170979
42,1.4220581055466137
43,1.403479035581194
44,1.4229563155024758
45,1.3657821157179495
46,1.4130192251862614
47,1.3434155992944594
48,1.2924766714163343
49,1.2685163217693431
