epoch,loss
0,7.785589618422677
1,7.0905349587343425
2,6.585341149837498
3,6.095876717742567
4,5.715320371005368
5,5.274907677021006
6,4.802273851876994
7,4.403406937750289
8,4.032699292754327
9,3.630028385930897
10,3.3251324543047303
11,2.9191973679713663
12,2.6637091469039196
13,2.394227611305581
14,2.226249967642121
15,2.041537198790223
16,1.804886513717027
17,1.6816157221418864
18,1.6324965234568336
19,1.46601003126983
20,1.4197794245272592
21,1.3539543041777635
22,1.2582790234906975
23,1.2366181349329033
24,1.2067194555388667
25,1.113926426936547
26,1.1005836324951956
27,1.0934528427634385
28,1.069605188880112
29,1.0499707412869832
30,0.9756383763905713
31,0.9588652109924669
32,0.9854937781191823
33,0.9382862419296537
34,0.9400501173040424
35,0.9052438365700113
36,0.8779774939275864
37,0.8939708764005183
38,0.8607144557166325
39,0.8498197375539718
40,0.8566149385002952
41,0.8462282663127183
42,0.837106973902251
43,0.8012862494459683
44,0.8096754395198722
45,0.8208090402146827
46,0.8360141468198202
47,0.8008791058161077
48,0.8118375502253129
49,0.8055529700746566
