epoch,loss
0,5.710739757148065
1,5.425775000797445
2,5.200534433975092
3,4.973541164717682
4,4.781718853131012
5,4.72688879719132
6,4.665374009852833
7,4.6261098197157455
8,4.5699141372987375
9,4.53717177038017
10,4.50651591267418
11,4.448327690712372
12,4.405115169895754
13,4.408024945251107
14,4.334192657790192
15,4.316917395072567
16,4.288175679531129
17,4.240858272891148
18,4.226023002285854
19,4.200667569785062
20,4.151703033415317
21,4.109196923286272
22,4.12525214941258
23,4.082668685433853
24,4.043746899520133
25,4.012342342379904
26,3.9842159129067682
27,3.9722611197275133
28,3.9033357174552266
29,3.892628213668389
30,3.856473830876438
31,3.8156188329060874
32,3.7686924451160273
33,3.775920856737811
34,3.7147494540542016
35,3.682230767293192
36,3.628957745218197
37,3.6320752474530855
38,3.5792221447930266
39,3.5311484169121363
40,3.485566267815467
41,3.457869920299281
42,3.4271834431780843
43,3.3731656122447258
44,3.314978738526004
45,3.28140998725316
46,3.257911611441991
47,3.1796753238792994
48,3.1267277819028054
49,3.0946009586404517
