epoch,loss
0,7.148031218932423
1,6.501105866252043
2,6.044867815195641
3,5.654514760904893
4,5.350332591381088
5,5.095656899185299
6,4.885113679544689
7,4.667881331447463
8,4.485005783685465
9,4.250442036501518
10,4.0541373815735025
11,3.832846949628067
12,3.698496231962923
13,3.4789785489543363
14,3.285487421310766
15,3.0994120030193577
16,2.9427659753293556
17,2.7596314254869565
18,2.608255785983989
19,2.445224086412946
20,2.326432405937242
21,2.1978166413104985
22,2.0779446333118283
23,1.9389516378974767
24,1.8369928308882526
25,1.7504491708604022
26,1.6578132260645364
27,1.5815711305430051
28,1.4946215503842626
29,1.4001982913351831
30,1.3455579148041072
31,1.2726745663832588
32,1.2376654289645606
33,1.186263300449736
34,1.1323810407723844
35,1.0574165424109425
36,0.9857657086463184
37,0.9668862072200893
38,0.9472839593565638
39,0.9331218166220804
40,0.8886478520073887
41,0.8337978218598098
42,0.7953283225883404
43,0.7541991343568083
44,0.7338485670668764
45,0.7286886874767294
46,0.7154619337139262
47,0.6928690811166786
48,0.6676216265883185
49,0.6501636149659006
